name,abilities
Bulbasaur,"['Overgrow', 'Chlorophyll']"
Ivysaur,"['Overgrow', 'Chlorophyll']"
Venusaur,"['Overgrow', 'Chlorophyll']"
Charmander,"['Blaze', 'Solar Power']"
Charmeleon,"['Blaze', 'Solar Power']"
Charizard,"['Blaze', 'Solar Power']"
Squirtle,"['Torrent', 'Rain Dish']"
Wartortle,"['Torrent', 'Rain Dish']"
Blastoise,"['Torrent', 'Rain Dish']"
Caterpie,"['Shield Dust', 'Run Away']"
Metapod,['Shed Skin']
Butterfree,"['Compoundeyes', 'Tinted Lens']"
Weedle,"['Shield Dust', 'Run Away']"
Kakuna,['Shed Skin']
Beedrill,"['Swarm', 'Sniper']"
Pidgey,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
Pidgeotto,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
Pidgeot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
Rattata,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
Raticate,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
Spearow,"['Keen Eye', 'Sniper']"
Fearow,"['Keen Eye', 'Sniper']"
Ekans,"['Intimidate', 'Shed Skin', 'Unnerve']"
Arbok,"['Intimidate', 'Shed Skin', 'Unnerve']"
Pikachu,"['Static', 'Lightningrod']"
Raichu,"['Static', 'Lightningrod', 'Surge Surfer']"
Sandshrew,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
Sandslash,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
Nidoran♀,"['Poison Point', 'Rivalry', 'Hustle']"
Nidorina,"['Poison Point', 'Rivalry', 'Hustle']"
Nidoqueen,"['Poison Point', 'Rivalry', 'Sheer Force']"
Nidoran♂,"['Poison Point', 'Rivalry', 'Hustle']"
Nidorino,"['Poison Point', 'Rivalry', 'Hustle']"
Nidoking,"['Poison Point', 'Rivalry', 'Sheer Force']"
Clefairy,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
Clefable,"['Cute Charm', 'Magic Guard', 'Unaware']"
Vulpix,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
Ninetales,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
Jigglypuff,"['Cute Charm', 'Competitive', 'Friend Guard']"
Wigglytuff,"['Cute Charm', 'Competitive', 'Frisk']"
Zubat,"['Inner Focus', 'Infiltrator']"
Golbat,"['Inner Focus', 'Infiltrator']"
Oddish,"['Chlorophyll', 'Run Away']"
Gloom,"['Chlorophyll', 'Stench']"
Vileplume,"['Chlorophyll', 'Effect Spore']"
Paras,"['Effect Spore', 'Dry Skin', 'Damp']"
Parasect,"['Effect Spore', 'Dry Skin', 'Damp']"
Venonat,"['Compoundeyes', 'Tinted Lens', 'Run Away']"
Venomoth,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']"
Diglett,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
Dugtrio,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
Meowth,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']"
Persian,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']"
Psyduck,"['Damp', 'Cloud Nine', 'Swift Swim']"
Golduck,"['Damp', 'Cloud Nine', 'Swift Swim']"
Mankey,"['Vital Spirit', 'Anger Point', 'Defiant']"
Primeape,"['Vital Spirit', 'Anger Point', 'Defiant']"
Growlithe,"['Intimidate', 'Flash Fire', 'Justified']"
Arcanine,"['Intimidate', 'Flash Fire', 'Justified']"
Poliwag,"['Water Absorb', 'Damp', 'Swift Swim']"
Poliwhirl,"['Water Absorb', 'Damp', 'Swift Swim']"
Poliwrath,"['Water Absorb', 'Damp', 'Swift Swim']"
Abra,"['Synchronize', 'Inner Focus', 'Magic Guard']"
Kadabra,"['Synchronize', 'Inner Focus', 'Magic Guard']"
Alakazam,"['Synchronize', 'Inner Focus', 'Magic Guard']"
Machop,"['Guts', 'No Guard', 'Steadfast']"
Machoke,"['Guts', 'No Guard', 'Steadfast']"
Machamp,"['Guts', 'No Guard', 'Steadfast']"
Bellsprout,"['Chlorophyll', 'Gluttony']"
Weepinbell,"['Chlorophyll', 'Gluttony']"
Victreebel,"['Chlorophyll', 'Gluttony']"
Tentacool,"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
Tentacruel,"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
Geodude,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
Graveler,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
Golem,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
Ponyta,"['Run Away', 'Flash Fire', 'Flame Body']"
Rapidash,"['Run Away', 'Flash Fire', 'Flame Body']"
Slowpoke,"['Oblivious', 'Own Tempo', 'Regenerator']"
Slowbro,"['Oblivious', 'Own Tempo', 'Regenerator']"
Magnemite,"['Magnet Pull', 'Sturdy', 'Analytic']"
Magneton,"['Magnet Pull', 'Sturdy', 'Analytic']"
Farfetch'd,"['Keen Eye', 'Inner Focus', 'Defiant']"
Doduo,"['Run Away', 'Early Bird', 'Tangled Feet']"
Dodrio,"['Run Away', 'Early Bird', 'Tangled Feet']"
Seel,"['Thick Fat', 'Hydration', 'Ice Body']"
Dewgong,"['Thick Fat', 'Hydration', 'Ice Body']"
Grimer,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
Muk,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
Shellder,"['Shell Armor', 'Skill Link', 'Overcoat']"
Cloyster,"['Shell Armor', 'Skill Link', 'Overcoat']"
Gastly,['Levitate']
Haunter,['Levitate']
Gengar,['Cursed Body']
Onix,"['Rock Head', 'Sturdy', 'Weak Armor']"
Drowzee,"['Insomnia', 'Forewarn', 'Inner Focus']"
Hypno,"['Insomnia', 'Forewarn', 'Inner Focus']"
Krabby,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
Kingler,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
Voltorb,"['Soundproof', 'Static', 'Aftermath']"
Electrode,"['Soundproof', 'Static', 'Aftermath']"
Exeggcute,"['Chlorophyll', 'Harvest']"
Exeggutor,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']"
Cubone,"['Rock Head', 'Lightningrod', 'Battle Armor']"
Marowak,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']"
Hitmonlee,"['Limber', 'Reckless', 'Unburden']"
Hitmonchan,"['Keen Eye', 'Iron Fist', 'Inner Focus']"
Lickitung,"['Own Tempo', 'Oblivious', 'Cloud Nine']"
Koffing,['Levitate']
Weezing,['Levitate']
Rhyhorn,"['Lightningrod', 'Rock Head', 'Reckless']"
Rhydon,"['Lightningrod', 'Rock Head', 'Reckless']"
Chansey,"['Natural Cure', 'Serene Grace', 'Healer']"
Tangela,"['Chlorophyll', 'Leaf Guard', 'Regenerator']"
Kangaskhan,"['Early Bird', 'Scrappy', 'Inner Focus']"
Horsea,"['Swift Swim', 'Sniper', 'Damp']"
Seadra,"['Poison Point', 'Sniper', 'Damp']"
Goldeen,"['Swift Swim', 'Water Veil', 'Lightningrod']"
Seaking,"['Swift Swim', 'Water Veil', 'Lightningrod']"
Staryu,"['Illuminate', 'Natural Cure', 'Analytic']"
Starmie,"['Illuminate', 'Natural Cure', 'Analytic']"
Mr. Mime,"['Soundproof', 'Filter', 'Technician']"
Scyther,"['Swarm', 'Technician', 'Steadfast']"
Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']"
Electabuzz,"['Static', 'Vital Spirit']"
Magmar,"['Flame Body', 'Vital Spirit']"
Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']"
Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']"
Magikarp,"['Swift Swim', 'Rattled']"
Gyarados,"['Intimidate', 'Moxie']"
Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']"
Ditto,"['Limber', 'Imposter']"
Eevee,"['Run Away', 'Adaptability', 'Anticipation']"
Vaporeon,"['Water Absorb', 'Hydration']"
Jolteon,"['Volt Absorb', 'Quick Feet']"
Flareon,"['Flash Fire', 'Guts']"
Porygon,"['Trace', 'Download', 'Analytic']"
Omanyte,"['Swift Swim', 'Shell Armor', 'Weak Armor']"
Omastar,"['Swift Swim', 'Shell Armor', 'Weak Armor']"
Kabuto,"['Swift Swim', 'Battle Armor', 'Weak Armor']"
Kabutops,"['Swift Swim', 'Battle Armor', 'Weak Armor']"
Aerodactyl,"['Rock Head', 'Pressure', 'Unnerve']"
Snorlax,"['Immunity', 'Thick Fat', 'Gluttony']"
Articuno,"['Pressure', 'Snow Cloak']"
Zapdos,"['Pressure', 'Static']"
Moltres,"['Pressure', 'Flame Body']"
Dratini,"['Shed Skin', 'Marvel Scale']"
Dragonair,"['Shed Skin', 'Marvel Scale']"
Dragonite,"['Inner Focus', 'Multiscale']"
Mewtwo,"['Pressure', 'Unnerve']"
Mew,['Synchronize']
Chikorita,"['Overgrow', 'Leaf Guard']"
Bayleef,"['Overgrow', 'Leaf Guard']"
Meganium,"['Overgrow', 'Leaf Guard']"
Cyndaquil,"['Blaze', 'Flash Fire']"
Quilava,"['Blaze', 'Flash Fire']"
Typhlosion,"['Blaze', 'Flash Fire']"
Totodile,"['Torrent', 'Sheer Force']"
Croconaw,"['Torrent', 'Sheer Force']"
Feraligatr,"['Torrent', 'Sheer Force']"
Sentret,"['Run Away', 'Keen Eye', 'Frisk']"
Furret,"['Run Away', 'Keen Eye', 'Frisk']"
Hoothoot,"['Insomnia', 'Keen Eye', 'Tinted Lens']"
Noctowl,"['Insomnia', 'Keen Eye', 'Tinted Lens']"
Ledyba,"['Swarm', 'Early Bird', 'Rattled']"
Ledian,"['Swarm', 'Early Bird', 'Iron Fist']"
Spinarak,"['Swarm', 'Insomnia', 'Sniper']"
Ariados,"['Swarm', 'Insomnia', 'Sniper']"
Crobat,"['Inner Focus', 'Infiltrator']"
Chinchou,"['Volt Absorb', 'Illuminate', 'Water Absorb']"
Lanturn,"['Volt Absorb', 'Illuminate', 'Water Absorb']"
Pichu,"['Static', 'Lightningrod']"
Cleffa,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
Igglybuff,"['Cute Charm', 'Competitive', 'Friend Guard']"
Togepi,"['Hustle', 'Serene Grace', 'Super Luck']"
Togetic,"['Hustle', 'Serene Grace', 'Super Luck']"
Natu,"['Synchronize', 'Early Bird', 'Magic Bounce']"
Xatu,"['Synchronize', 'Early Bird', 'Magic Bounce']"
Mareep,"['Static', 'Plus']"
Flaaffy,"['Static', 'Plus']"
Ampharos,"['Static', 'Plus']"
Bellossom,"['Chlorophyll', 'Healer']"
Marill,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
Azumarill,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
Sudowoodo,"['Sturdy', 'Rock Head', 'Rattled']"
Politoed,"['Water Absorb', 'Damp', 'Drizzle']"
Hoppip,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
Skiploom,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
Jumpluff,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
Aipom,"['Run Away', 'Pickup', 'Skill Link']"
Sunkern,"['Chlorophyll', 'Solar Power', 'Early Bird']"
Sunflora,"['Chlorophyll', 'Solar Power', 'Early Bird']"
Yanma,"['Speed Boost', 'Compoundeyes', 'Frisk']"
Wooper,"['Damp', 'Water Absorb', 'Unaware']"
Quagsire,"['Damp', 'Water Absorb', 'Unaware']"
Espeon,"['Synchronize', 'Magic Bounce']"
Umbreon,"['Synchronize', 'Inner Focus']"
Murkrow,"['Insomnia', 'Super Luck', 'Prankster']"
Slowking,"['Oblivious', 'Own Tempo', 'Regenerator']"
Misdreavus,['Levitate']
Unown,['Levitate']
Wobbuffet,"['Shadow Tag', 'Telepathy']"
Girafarig,"['Inner Focus', 'Early Bird', 'Sap Sipper']"
Pineco,"['Sturdy', 'Overcoat']"
Forretress,"['Sturdy', 'Overcoat']"
Dunsparce,"['Serene Grace', 'Run Away', 'Rattled']"
Gligar,"['Hyper Cutter', 'Sand Veil', 'Immunity']"
Steelix,"['Rock Head', 'Sturdy', 'Sheer Force']"
Snubbull,"['Intimidate', 'Run Away', 'Rattled']"
Granbull,"['Intimidate', 'Quick Feet', 'Rattled']"
Qwilfish,"['Poison Point', 'Swift Swim', 'Intimidate']"
Scizor,"['Swarm', 'Technician', 'Light Metal']"
Shuckle,"['Sturdy', 'Gluttony', 'Contrary']"
Heracross,"['Swarm', 'Guts', 'Moxie']"
Sneasel,"['Inner Focus', 'Keen Eye', 'Pickpocket']"
Teddiursa,"['Pickup', 'Quick Feet', 'Honey Gather']"
Ursaring,"['Guts', 'Quick Feet', 'Unnerve']"
Slugma,"['Magma Armor', 'Flame Body', 'Weak Armor']"
Magcargo,"['Magma Armor', 'Flame Body', 'Weak Armor']"
Swinub,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
Piloswine,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
Corsola,"['Hustle', 'Natural Cure', 'Regenerator']"
Remoraid,"['Hustle', 'Sniper', 'Moody']"
Octillery,"['Suction Cups', 'Sniper', 'Moody']"
Delibird,"['Vital Spirit', 'Hustle', 'Insomnia']"
Mantine,"['Swift Swim', 'Water Absorb', 'Water Veil']"
Skarmory,"['Keen Eye', 'Sturdy', 'Weak Armor']"
Houndour,"['Early Bird', 'Flash Fire', 'Unnerve']"
Houndoom,"['Early Bird', 'Flash Fire', 'Unnerve']"
Kingdra,"['Swift Swim', 'Sniper', 'Damp']"
Phanpy,"['Pickup', 'Sand Veil']"
Donphan,"['Sturdy', 'Sand Veil']"
Porygon2,"['Trace', 'Download', 'Analytic']"
Stantler,"['Intimidate', 'Frisk', 'Sap Sipper']"
Smeargle,"['Own Tempo', 'Technician', 'Moody']"
Tyrogue,"['Guts', 'Steadfast', 'Vital Spirit']"
Hitmontop,"['Intimidate', 'Technician', 'Steadfast']"
Smoochum,"['Oblivious', 'Forewarn', 'Hydration']"
Elekid,"['Static', 'Vital Spirit']"
Magby,"['Flame Body', 'Vital Spirit']"
Miltank,"['Thick Fat', 'Scrappy', 'Sap Sipper']"
Blissey,"['Natural Cure', 'Serene Grace', 'Healer']"
Raikou,"['Pressure', 'Inner Focus']"
Entei,"['Pressure', 'Inner Focus']"
Suicune,"['Pressure', 'Inner Focus']"
Larvitar,"['Guts', 'Sand Veil']"
Pupitar,['Shed Skin']
Tyranitar,"['Sand Stream', 'Unnerve']"
Lugia,"['Pressure', 'Multiscale']"
Ho-Oh,"['Pressure', 'Regenerator']"
Celebi,['Natural Cure']
Treecko,"['Overgrow', 'Unburden']"
Grovyle,"['Overgrow', 'Unburden']"
Sceptile,"['Overgrow', 'Unburden']"
Torchic,"['Blaze', 'Speed Boost']"
Combusken,"['Blaze', 'Speed Boost']"
